,name,description,category,img_urls
4990,Mono casino,Mono satinado escote cruzado,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37079204_52.jpg?ts=1665144207594
4994,Bota nebot2,Bota piel caña alta,zapatos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37049206_99-99999999_01.jpg?ts=1667995404482
4995,Blusa grand,Blusa detalles bordados,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37033855_02_D2.jpg?ts=1657640998803
4996,Top xtacha,Top terciopelo strass,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37059075_99_D2.jpg?ts=1663312538517
4997,Jersey franklin,Jersey punto calado,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37007765_43_D1.jpg?ts=1665655364843
4998,Jersey lucav,Jersey punto fino,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37073834_88_D2.jpg?ts=1660893730082
4999,Jersey lucav,Jersey punto fino,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37073834_70_D2.jpg?ts=1655725878209
5000,Jersey lucav,Jersey punto fino,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37073834_99_D2.jpg?ts=1657119102296
5003,Abrigo fresita,Abrigo pelo oversize,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37039033_30-99999999_01.jpg?ts=1664888660274
5004,Abrigo fresita,Abrigo pelo oversize,abrigos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37039033_83-99999999_01.jpg?ts=1664273678444
5007,Camiseta fleury,Camiseta estampada cuello alto,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37015968_52_D2.jpg?ts=1661496914258
5008,Pantalon niki,Pantalón aberturas bajo,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37095929_99-99999999_01.jpg?ts=1658916538447
5016,Falda emma,Falda midi plisada,faldas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37089403_05-99999999_01.jpg?ts=1666593189783
